Receipt No.,Completion Time,Details,Paid In,Withdrawn,TurnOver,No of Loans,Total Amount of Loans
NLJ1SEGIMX,12/19/19,M-Shwari Withdraw,"110,00",,,,
NLJ4S1A6HC,12/19/19,M-Shwari Withdraw,"30,00",,,,
NLJ9RZRMZD,12/19/19,M-Shwari Withdraw,"30,00",,,,
NLI7R9AM0J,12/18/19,M-Shwari Withdraw,"20,00",,,,
NLH6QE5LL4,12/17/19,M-Shwari Withdraw,"30,00",,,,
NLG0PXRWRQ,12/16/19,M-Shwari Withdraw,"20,00",,,,
NLF4OLAJ3M,12/15/19,M-Shwari Withdraw,"14000,00",,,,
NLE9OAD8DB,12/14/19,M-Shwari Withdraw,"14337,00",,,,
NLC8MF4CSW,12/12/2019,M-Shwari Withdraw,"400,00",,,,
NL85IJB72N,8/12/2019,M-Shwari Deposit,,"-24000,00",,,
NL33E6FWMT,3/12/2019,M-Shwari Deposit,,"-24000,00",,,
